"","country_or_area","commodity_transaction","year","unit","quantity","quantity_footnotes","category"
"52","Peru","Falling water - total hydraulic resources",1990,"Kilowatt-hours, million",1839600,NA,"falling_water"
"53","Suriname","Falling water - total hydraulic resources",2008,"Kilowatt-hours, million",39000,NA,"falling_water"
"54","Suriname","Falling water - total hydraulic resources",2005,"Kilowatt-hours, million",32000,NA,"falling_water"
"55","Suriname","Falling water - total hydraulic resources",1997,"Kilowatt-hours, million",13000,NA,"falling_water"
"56","Suriname","Falling water - total hydraulic resources",1995,"Kilowatt-hours, million",12840,NA,"falling_water"
"57","Suriname","Falling water - total hydraulic resources",1993,"Kilowatt-hours, million",12840,NA,"falling_water"
"58","Uruguay","Falling water - total hydraulic resources",2008,"Kilowatt-hours, million",32000,NA,"falling_water"
"59","Uruguay","Falling water - total hydraulic resources",2005,"Kilowatt-hours, million",32000,NA,"falling_water"
"60","Uruguay","Falling water - total hydraulic resources",1997,"Kilowatt-hours, million",32000,NA,"falling_water"
"61","Uruguay","Falling water - total hydraulic resources",1995,"Kilowatt-hours, million",32000,NA,"falling_water"
"62","Uruguay","Falling water - total hydraulic resources",1993,"Kilowatt-hours, million",32000,NA,"falling_water"
"63","Venezuela (Bolivar. Rep.)","Falling water - total hydraulic resources",2008,"Kilowatt-hours, million",731000,NA,"falling_water"
"64","Venezuela (Bolivar. Rep.)","Falling water - total hydraulic resources",2005,"Kilowatt-hours, million",320000,NA,"falling_water"
"65","Venezuela (Bolivar. Rep.)","Falling water - total hydraulic resources",1997,"Kilowatt-hours, million",345000,NA,"falling_water"
"66","Venezuela (Bolivar. Rep.)","Falling water - total hydraulic resources",1995,"Kilowatt-hours, million",287328,NA,"falling_water"
"67","Venezuela (Bolivar. Rep.)","Falling water - total hydraulic resources",1993,"Kilowatt-hours, million",287328,NA,"falling_water"
"68","Venezuela (Bolivar. Rep.)","Falling water - total hydraulic resources",1990,"Kilowatt-hours, million",335000,NA,"falling_water"
"69","Argentina","Electricity - total hydro production",2014,"Kilowatt-hours, million",41348,NA,"hydro"
"70","Argentina","Electricity - total hydro production",2013,"Kilowatt-hours, million",33422,NA,"hydro"
"71","Argentina","Electricity - total hydro production",2012,"Kilowatt-hours, million",29716,NA,"hydro"
"72","Argentina","Electricity - total hydro production",2011,"Kilowatt-hours, million",31901,NA,"hydro"
"73","Argentina","Electricity - total hydro production",2010,"Kilowatt-hours, million",33918,NA,"hydro"
"74","Argentina","Electricity - total hydro production",2009,"Kilowatt-hours, million",34295,NA,"hydro"
"75","Argentina","Electricity - total hydro production",2008,"Kilowatt-hours, million",30740,NA,"hydro"
"76","Argentina","Electricity - total hydro production",2007,"Kilowatt-hours, million",30707,NA,"hydro"
"77","Argentina","Electricity - total hydro production",2006,"Kilowatt-hours, million",38157,NA,"hydro"
"78","Argentina","Electricity - total hydro production",2005,"Kilowatt-hours, million",34263,NA,"hydro"
"79","Argentina","Electricity - total hydro production",2004,"Kilowatt-hours, million",30525,NA,"hydro"
"80","Argentina","Electricity - total hydro production",2003,"Kilowatt-hours, million",33841,NA,"hydro"
"81","Argentina","Electricity - total hydro production",2002,"Kilowatt-hours, million",35888,NA,"hydro"
"82","Argentina","Electricity - total hydro production",2001,"Kilowatt-hours, million",37046,NA,"hydro"
"83","Argentina","Electricity - total hydro production",2000,"Kilowatt-hours, million",28841,NA,"hydro"
"84","Argentina","Electricity - total hydro production",1999,"Kilowatt-hours, million",21669,NA,"hydro"
"85","Argentina","Electricity - total hydro production",1998,"Kilowatt-hours, million",26592,NA,"hydro"
"86","Argentina","Electricity - total hydro production",1997,"Kilowatt-hours, million",28181,NA,"hydro"
"87","Argentina","Electricity - total hydro production",1996,"Kilowatt-hours, million",22985,NA,"hydro"
"88","Argentina","Electricity - total hydro production",1995,"Kilowatt-hours, million",26986,NA,"hydro"
"89","Argentina","Electricity - total hydro production",1994,"Kilowatt-hours, million",27667,NA,"hydro"
"90","Argentina","Electricity - total hydro production",1993,"Kilowatt-hours, million",24159,NA,"hydro"
"91","Argentina","Electricity - total hydro production",1992,"Kilowatt-hours, million",19571,1,"hydro"
"92","Argentina","Electricity - total hydro production",1991,"Kilowatt-hours, million",16431,NA,"hydro"
"93","Argentina","Electricity - total hydro production",1990,"Kilowatt-hours, million",18133,NA,"hydro"
"94","Bolivia (Plur. State of)","Electricity - total hydro production",2014,"Kilowatt-hours, million",2251,NA,"hydro"
"95","Bolivia (Plur. State of)","Electricity - total hydro production",2013,"Kilowatt-hours, million",2535,NA,"hydro"
"96","Bolivia (Plur. State of)","Electricity - total hydro production",2012,"Kilowatt-hours, million",2352,NA,"hydro"
"97","Bolivia (Plur. State of)","Electricity - total hydro production",2011,"Kilowatt-hours, million",2347,NA,"hydro"
"98","Bolivia (Plur. State of)","Electricity - total hydro production",2010,"Kilowatt-hours, million",2182,NA,"hydro"
"99","Bolivia (Plur. State of)","Electricity - total hydro production",2009,"Kilowatt-hours, million",2296,NA,"hydro"
"100","Bolivia (Plur. State of)","Electricity - total hydro production",2008,"Kilowatt-hours, million",2310,NA,"hydro"
"101","Bolivia (Plur. State of)","Electricity - total hydro production",2007,"Kilowatt-hours, million",2319,NA,"hydro"
"102","Bolivia (Plur. State of)","Electricity - total hydro production",2006,"Kilowatt-hours, million",2159,NA,"hydro"
"103","Bolivia (Plur. State of)","Electricity - total hydro production",2005,"Kilowatt-hours, million",1964,NA,"hydro"
"104","Bolivia (Plur. State of)","Electricity - total hydro production",2004,"Kilowatt-hours, million",2168.2,NA,"hydro"
"105","Bolivia (Plur. State of)","Electricity - total hydro production",2003,"Kilowatt-hours, million",2029,NA,"hydro"
"106","Bolivia (Plur. State of)","Electricity - total hydro production",2002,"Kilowatt-hours, million",2203,NA,"hydro"
"107","Bolivia (Plur. State of)","Electricity - total hydro production",2001,"Kilowatt-hours, million",2129,NA,"hydro"
"108","Bolivia (Plur. State of)","Electricity - total hydro production",2000,"Kilowatt-hours, million",1945,NA,"hydro"
"109","Bolivia (Plur. State of)","Electricity - total hydro production",1999,"Kilowatt-hours, million",1786,NA,"hydro"
"110","Bolivia (Plur. State of)","Electricity - total hydro production",1998,"Kilowatt-hours, million",1556,NA,"hydro"
"111","Bolivia (Plur. State of)","Electricity - total hydro production",1997,"Kilowatt-hours, million",1565,NA,"hydro"
"112","Bolivia (Plur. State of)","Electricity - total hydro production",1996,"Kilowatt-hours, million",1466,NA,"hydro"
"113","Bolivia (Plur. State of)","Electricity - total hydro production",1995,"Kilowatt-hours, million",1305,NA,"hydro"
"114","Bolivia (Plur. State of)","Electricity - total hydro production",1994,"Kilowatt-hours, million",1365,NA,"hydro"
"115","Bolivia (Plur. State of)","Electricity - total hydro production",1993,"Kilowatt-hours, million",1558,NA,"hydro"
"116","Bolivia (Plur. State of)","Electricity - total hydro production",1992,"Kilowatt-hours, million",1318,NA,"hydro"
"117","Bolivia (Plur. State of)","Electricity - total hydro production",1991,"Kilowatt-hours, million",1427,NA,"hydro"
"118","Bolivia (Plur. State of)","Electricity - total hydro production",1990,"Kilowatt-hours, million",1180,NA,"hydro"
"119","Brazil","Electricity - total hydro production",2014,"Kilowatt-hours, million",373439,NA,"hydro"
"120","Brazil","Electricity - total hydro production",2013,"Kilowatt-hours, million",390992,NA,"hydro"
"121","Brazil","Electricity - total hydro production",2012,"Kilowatt-hours, million",415342,NA,"hydro"
"122","Brazil","Electricity - total hydro production",2011,"Kilowatt-hours, million",428333,NA,"hydro"
"123","Brazil","Electricity - total hydro production",2010,"Kilowatt-hours, million",403289,NA,"hydro"
"124","Brazil","Electricity - total hydro production",2009,"Kilowatt-hours, million",390988,NA,"hydro"
"125","Brazil","Electricity - total hydro production",2008,"Kilowatt-hours, million",369556,NA,"hydro"
"126","Brazil","Electricity - total hydro production",2007,"Kilowatt-hours, million",374015,NA,"hydro"
"127","Brazil","Electricity - total hydro production",2006,"Kilowatt-hours, million",348805,NA,"hydro"
"128","Brazil","Electricity - total hydro production",2005,"Kilowatt-hours, million",337457,NA,"hydro"
"129","Brazil","Electricity - total hydro production",2004,"Kilowatt-hours, million",320797,NA,"hydro"
"130","Brazil","Electricity - total hydro production",2003,"Kilowatt-hours, million",305616,NA,"hydro"
"131","Brazil","Electricity - total hydro production",2002,"Kilowatt-hours, million",286092,NA,"hydro"
"132","Brazil","Electricity - total hydro production",2001,"Kilowatt-hours, million",267876,NA,"hydro"
"133","Brazil","Electricity - total hydro production",2000,"Kilowatt-hours, million",304403,NA,"hydro"
"134","Brazil","Electricity - total hydro production",1999,"Kilowatt-hours, million",293000,NA,"hydro"
"135","Brazil","Electricity - total hydro production",1998,"Kilowatt-hours, million",291469,NA,"hydro"
"136","Brazil","Electricity - total hydro production",1997,"Kilowatt-hours, million",278972,NA,"hydro"
"137","Brazil","Electricity - total hydro production",1996,"Kilowatt-hours, million",265769,NA,"hydro"
"138","Brazil","Electricity - total hydro production",1995,"Kilowatt-hours, million",253905,NA,"hydro"
"139","Brazil","Electricity - total hydro production",1994,"Kilowatt-hours, million",242705,NA,"hydro"
"140","Brazil","Electricity - total hydro production",1993,"Kilowatt-hours, million",238435,NA,"hydro"
"141","Brazil","Electricity - total hydro production",1992,"Kilowatt-hours, million",223343,NA,"hydro"
"142","Brazil","Electricity - total hydro production",1991,"Kilowatt-hours, million",217782,NA,"hydro"
"143","Brazil","Electricity - total hydro production",1990,"Kilowatt-hours, million",206708,NA,"hydro"
"144","Chile","Electricity - total hydro production",2014,"Kilowatt-hours, million",23099,NA,"hydro"
"145","Chile","Electricity - total hydro production",2013,"Kilowatt-hours, million",19737,NA,"hydro"
"146","Chile","Electricity - total hydro production",2012,"Kilowatt-hours, million",20158,NA,"hydro"
"147","Chile","Electricity - total hydro production",2011,"Kilowatt-hours, million",21009,NA,"hydro"
"148","Chile","Electricity - total hydro production",2010,"Kilowatt-hours, million",21717,NA,"hydro"
"149","Chile","Electricity - total hydro production",2009,"Kilowatt-hours, million",25296,NA,"hydro"
"150","Chile","Electricity - total hydro production",2008,"Kilowatt-hours, million",24193,NA,"hydro"
"151","Chile","Electricity - total hydro production",2007,"Kilowatt-hours, million",23130,NA,"hydro"
"152","Chile","Electricity - total hydro production",2006,"Kilowatt-hours, million",29129,NA,"hydro"
"153","Chile","Electricity - total hydro production",2005,"Kilowatt-hours, million",26483,NA,"hydro"
"154","Chile","Electricity - total hydro production",2004,"Kilowatt-hours, million",21979,NA,"hydro"
"155","Chile","Electricity - total hydro production",2003,"Kilowatt-hours, million",21674,NA,"hydro"
"156","Chile","Electricity - total hydro production",2002,"Kilowatt-hours, million",22265,NA,"hydro"
"157","Chile","Electricity - total hydro production",2001,"Kilowatt-hours, million",21003,NA,"hydro"
"158","Chile","Electricity - total hydro production",2000,"Kilowatt-hours, million",18516,NA,"hydro"
"159","Chile","Electricity - total hydro production",1999,"Kilowatt-hours, million",13590,NA,"hydro"
"160","Chile","Electricity - total hydro production",1998,"Kilowatt-hours, million",15944,NA,"hydro"
"161","Chile","Electricity - total hydro production",1997,"Kilowatt-hours, million",18946,NA,"hydro"
"162","Chile","Electricity - total hydro production",1996,"Kilowatt-hours, million",16841,NA,"hydro"
"163","Chile","Electricity - total hydro production",1995,"Kilowatt-hours, million",18414,NA,"hydro"
"164","Chile","Electricity - total hydro production",1994,"Kilowatt-hours, million",16986,NA,"hydro"
"165","Chile","Electricity - total hydro production",1993,"Kilowatt-hours, million",17852,NA,"hydro"
"166","Chile","Electricity - total hydro production",1992,"Kilowatt-hours, million",16750,NA,"hydro"
"167","Chile","Electricity - total hydro production",1991,"Kilowatt-hours, million",13134,NA,"hydro"
"168","Chile","Electricity - total hydro production",1990,"Kilowatt-hours, million",8928,NA,"hydro"
"169","Colombia","Electricity - total hydro production",2014,"Kilowatt-hours, million",44852,NA,"hydro"
"170","Colombia","Electricity - total hydro production",2013,"Kilowatt-hours, million",44377,NA,"hydro"
"171","Colombia","Electricity - total hydro production",2012,"Kilowatt-hours, million",47600,NA,"hydro"
"172","Colombia","Electricity - total hydro production",2011,"Kilowatt-hours, million",48917,NA,"hydro"
"173","Colombia","Electricity - total hydro production",2010,"Kilowatt-hours, million",40527,NA,"hydro"
"174","Colombia","Electricity - total hydro production",2009,"Kilowatt-hours, million",40986,NA,"hydro"
"175","Colombia","Electricity - total hydro production",2008,"Kilowatt-hours, million",46292,NA,"hydro"
"176","Colombia","Electricity - total hydro production",2007,"Kilowatt-hours, million",44445,NA,"hydro"
"177","Colombia","Electricity - total hydro production",2006,"Kilowatt-hours, million",42742,NA,"hydro"
"178","Colombia","Electricity - total hydro production",2005,"Kilowatt-hours, million",39803.11,NA,"hydro"
"179","Colombia","Electricity - total hydro production",2004,"Kilowatt-hours, million",40056,NA,"hydro"
"180","Colombia","Electricity - total hydro production",2003,"Kilowatt-hours, million",36216,NA,"hydro"
"181","Colombia","Electricity - total hydro production",2002,"Kilowatt-hours, million",33968,NA,"hydro"
"182","Colombia","Electricity - total hydro production",2001,"Kilowatt-hours, million",31798,NA,"hydro"
"183","Colombia","Electricity - total hydro production",2000,"Kilowatt-hours, million",32074,NA,"hydro"
"184","Colombia","Electricity - total hydro production",1999,"Kilowatt-hours, million",33741,NA,"hydro"
"185","Colombia","Electricity - total hydro production",1998,"Kilowatt-hours, million",30782,NA,"hydro"
"186","Colombia","Electricity - total hydro production",1997,"Kilowatt-hours, million",31727,NA,"hydro"
"187","Colombia","Electricity - total hydro production",1996,"Kilowatt-hours, million",35533,NA,"hydro"
"188","Colombia","Electricity - total hydro production",1995,"Kilowatt-hours, million",32202,NA,"hydro"
"189","Colombia","Electricity - total hydro production",1994,"Kilowatt-hours, million",32111,NA,"hydro"
"190","Colombia","Electricity - total hydro production",1993,"Kilowatt-hours, million",27898,NA,"hydro"
"191","Colombia","Electricity - total hydro production",1992,"Kilowatt-hours, million",22326,NA,"hydro"
"192","Colombia","Electricity - total hydro production",1991,"Kilowatt-hours, million",27485,1,"hydro"
"193","Colombia","Electricity - total hydro production",1990,"Kilowatt-hours, million",27523,NA,"hydro"
"194","Ecuador","Electricity - total hydro production",2014,"Kilowatt-hours, million",11457.9,NA,"hydro"
"195","Ecuador","Electricity - total hydro production",2013,"Kilowatt-hours, million",11038.8,NA,"hydro"
"196","Ecuador","Electricity - total hydro production",2012,"Kilowatt-hours, million",12237.7,NA,"hydro"
"197","Ecuador","Electricity - total hydro production",2011,"Kilowatt-hours, million",11133.1,NA,"hydro"
"198","Ecuador","Electricity - total hydro production",2010,"Kilowatt-hours, million",8636.4,NA,"hydro"
"199","Ecuador","Electricity - total hydro production",2009,"Kilowatt-hours, million",9225.4,NA,"hydro"
"200","Ecuador","Electricity - total hydro production",2008,"Kilowatt-hours, million",11294,NA,"hydro"
"201","Ecuador","Electricity - total hydro production",2007,"Kilowatt-hours, million",9037,NA,"hydro"
"202","Ecuador","Electricity - total hydro production",2006,"Kilowatt-hours, million",7130,NA,"hydro"
"203","Ecuador","Electricity - total hydro production",2005,"Kilowatt-hours, million",6883,NA,"hydro"
"204","Ecuador","Electricity - total hydro production",2004,"Kilowatt-hours, million",7412,NA,"hydro"
"205","Ecuador","Electricity - total hydro production",2003,"Kilowatt-hours, million",7181,NA,"hydro"
"206","Ecuador","Electricity - total hydro production",2002,"Kilowatt-hours, million",7525,NA,"hydro"
"207","Ecuador","Electricity - total hydro production",2001,"Kilowatt-hours, million",7071,NA,"hydro"
"208","Ecuador","Electricity - total hydro production",2000,"Kilowatt-hours, million",7609,NA,"hydro"
"209","Ecuador","Electricity - total hydro production",1999,"Kilowatt-hours, million",7177,NA,"hydro"
"210","Ecuador","Electricity - total hydro production",1998,"Kilowatt-hours, million",6506,NA,"hydro"
"211","Ecuador","Electricity - total hydro production",1997,"Kilowatt-hours, million",6534,NA,"hydro"
"212","Ecuador","Electricity - total hydro production",1996,"Kilowatt-hours, million",6344,NA,"hydro"
"213","Ecuador","Electricity - total hydro production",1995,"Kilowatt-hours, million",5161,NA,"hydro"
"214","Ecuador","Electricity - total hydro production",1994,"Kilowatt-hours, million",6565,NA,"hydro"
"215","Ecuador","Electricity - total hydro production",1993,"Kilowatt-hours, million",5810,NA,"hydro"
"216","Ecuador","Electricity - total hydro production",1992,"Kilowatt-hours, million",4974,NA,"hydro"
"217","Ecuador","Electricity - total hydro production",1991,"Kilowatt-hours, million",5075,NA,"hydro"
"218","Ecuador","Electricity - total hydro production",1990,"Kilowatt-hours, million",4987,NA,"hydro"
"219","Guyana","Electricity - total hydro production",1998,"Kilowatt-hours, million",5,1,"hydro"
"220","Guyana","Electricity - total hydro production",1997,"Kilowatt-hours, million",5,1,"hydro"
"221","Guyana","Electricity - total hydro production",1996,"Kilowatt-hours, million",5,1,"hydro"
"222","Guyana","Electricity - total hydro production",1995,"Kilowatt-hours, million",5,1,"hydro"
"223","Guyana","Electricity - total hydro production",1994,"Kilowatt-hours, million",5,1,"hydro"
"224","Guyana","Electricity - total hydro production",1993,"Kilowatt-hours, million",5,1,"hydro"
"225","Guyana","Electricity - total hydro production",1992,"Kilowatt-hours, million",5,1,"hydro"
"226","Guyana","Electricity - total hydro production",1991,"Kilowatt-hours, million",5,1,"hydro"
"227","Guyana","Electricity - total hydro production",1990,"Kilowatt-hours, million",5,1,"hydro"
"228","Paraguay","Electricity - total hydro production",2014,"Kilowatt-hours, million",55276.4,NA,"hydro"
"229","Paraguay","Electricity - total hydro production",2013,"Kilowatt-hours, million",60377.85,NA,"hydro"
"230","Paraguay","Electricity - total hydro production",2012,"Kilowatt-hours, million",60231.54,NA,"hydro"
"231","Paraguay","Electricity - total hydro production",2011,"Kilowatt-hours, million",57624.09,NA,"hydro"
"232","Paraguay","Electricity - total hydro production",2010,"Kilowatt-hours, million",54064.77,NA,"hydro"
"233","Paraguay","Electricity - total hydro production",2009,"Kilowatt-hours, million",54938.95,NA,"hydro"
"234","Paraguay","Electricity - total hydro production",2008,"Kilowatt-hours, million",55453.85,NA,"hydro"
"235","Paraguay","Electricity - total hydro production",2007,"Kilowatt-hours, million",53714.25,NA,"hydro"
"236","Paraguay","Electricity - total hydro production",2006,"Kilowatt-hours, million",53773.67,NA,"hydro"
"237","Paraguay","Electricity - total hydro production",2005,"Kilowatt-hours, million",51155.7,NA,"hydro"
"238","Paraguay","Electricity - total hydro production",2004,"Kilowatt-hours, million",51920.75,NA,"hydro"
"239","Paraguay","Electricity - total hydro production",2003,"Kilowatt-hours, million",51761.11,NA,"hydro"
"240","Paraguay","Electricity - total hydro production",2002,"Kilowatt-hours, million",48202.7,NA,"hydro"
"241","Paraguay","Electricity - total hydro production",2001,"Kilowatt-hours, million",45308,NA,"hydro"
"242","Paraguay","Electricity - total hydro production",2000,"Kilowatt-hours, million",53481.4,NA,"hydro"
"243","Paraguay","Electricity - total hydro production",1999,"Kilowatt-hours, million",51910.28,NA,"hydro"
"244","Paraguay","Electricity - total hydro production",1998,"Kilowatt-hours, million",50824.04,NA,"hydro"
"245","Paraguay","Electricity - total hydro production",1997,"Kilowatt-hours, million",50805,NA,"hydro"
"246","Paraguay","Electricity - total hydro production",1996,"Kilowatt-hours, million",44772,NA,"hydro"
"247","Paraguay","Electricity - total hydro production",1995,"Kilowatt-hours, million",39712,NA,"hydro"
"248","Paraguay","Electricity - total hydro production",1994,"Kilowatt-hours, million",36396,NA,"hydro"
"249","Paraguay","Electricity - total hydro production",1993,"Kilowatt-hours, million",31411,NA,"hydro"
"250","Paraguay","Electricity - total hydro production",1992,"Kilowatt-hours, million",27115,1,"hydro"
"251","Paraguay","Electricity - total hydro production",1991,"Kilowatt-hours, million",29373,1,"hydro"
"252","Paraguay","Electricity - total hydro production",1990,"Kilowatt-hours, million",27199,1,"hydro"
"253","Peru","Electricity - total hydro production",2014,"Kilowatt-hours, million",22171,NA,"hydro"
"254","Peru","Electricity - total hydro production",2013,"Kilowatt-hours, million",22319.6,NA,"hydro"
"255","Peru","Electricity - total hydro production",2012,"Kilowatt-hours, million",22031.9,NA,"hydro"
"256","Peru","Electricity - total hydro production",2011,"Kilowatt-hours, million",21561.6,NA,"hydro"
"257","Peru","Electricity - total hydro production",2010,"Kilowatt-hours, million",20042,NA,"hydro"
"258","Peru","Electricity - total hydro production",2009,"Kilowatt-hours, million",19491,NA,"hydro"
"259","Peru","Electricity - total hydro production",2008,"Kilowatt-hours, million",19040,NA,"hydro"
"260","Peru","Electricity - total hydro production",2007,"Kilowatt-hours, million",19549,NA,"hydro"
"261","Peru","Electricity - total hydro production",2006,"Kilowatt-hours, million",21483,NA,"hydro"
"262","Peru","Electricity - total hydro production",2005,"Kilowatt-hours, million",19962,NA,"hydro"
"263","Peru","Electricity - total hydro production",2004,"Kilowatt-hours, million",17525,NA,"hydro"
"264","Peru","Electricity - total hydro production",2003,"Kilowatt-hours, million",18534,NA,"hydro"
"265","Peru","Electricity - total hydro production",2002,"Kilowatt-hours, million",18040,NA,"hydro"
"266","Peru","Electricity - total hydro production",2001,"Kilowatt-hours, million",17606,NA,"hydro"
"267","Peru","Electricity - total hydro production",2000,"Kilowatt-hours, million",16175.8697,NA,"hydro"
"268","Peru","Electricity - total hydro production",1999,"Kilowatt-hours, million",14540.5793,NA,"hydro"
"269","Peru","Electricity - total hydro production",1998,"Kilowatt-hours, million",13808.3,NA,"hydro"
"270","Peru","Electricity - total hydro production",1997,"Kilowatt-hours, million",13213,NA,"hydro"
"271","Peru","Electricity - total hydro production",1996,"Kilowatt-hours, million",13549,NA,"hydro"
"272","Peru","Electricity - total hydro production",1995,"Kilowatt-hours, million",13782,NA,"hydro"
"273","Peru","Electricity - total hydro production",1994,"Kilowatt-hours, million",12754,NA,"hydro"
"274","Peru","Electricity - total hydro production",1993,"Kilowatt-hours, million",11795,NA,"hydro"
"275","Peru","Electricity - total hydro production",1992,"Kilowatt-hours, million",9784,NA,"hydro"
"276","Peru","Electricity - total hydro production",1991,"Kilowatt-hours, million",11493,NA,"hydro"
"277","Peru","Electricity - total hydro production",1990,"Kilowatt-hours, million",10480,NA,"hydro"
"278","Suriname","Electricity - total hydro production",2014,"Kilowatt-hours, million",795.1,NA,"hydro"
"279","Suriname","Electricity - total hydro production",2013,"Kilowatt-hours, million",481.1,NA,"hydro"
"280","Suriname","Electricity - total hydro production",2012,"Kilowatt-hours, million",998,NA,"hydro"
"281","Suriname","Electricity - total hydro production",2011,"Kilowatt-hours, million",946.4,NA,"hydro"
